month,day,wind,rain,area
3.0,5,6.7,0.0,0.0
10.0,2,0.9,0.0,0.0
10.0,6,1.3,0.0,0.0
3.0,7,1.8,0.0,0.0
8.0,7,5.4,0.0,0.0
8.0,1,3.1,0.0,0.0
9.0,2,5.4,0.0,0.0
9.0,6,4.0,0.0,0.0
9.0,6,7.2,0.0,0.0
8.0,5,6.7,0.0,0.0
9.0,1,2.2,0.0,0.0
10.0,1,4.9,0.0,0.0
4.0,6,4.5,0.0,0.0
9.0,2,2.7,0.0,0.0
9.0,1,2.7,0.0,0.0
,7,4.5,0.0,0.0
8.0,6,5.8,0.0,0.0
8.0,6,5.8,0.0,0.0
9.0,5,5.8,0.0,0.0
9.0,6,2.7,0.0,0.0
9.0,7,3.6,0.0,0.0
9.0,5,3.6,0.0,0.0
9.0,1,7.6,0.0,0.0
9.0,5,1.8,0.0,0.0
9.0,2,4.5,0.0,0.0
10.0,2,4.5,0.0,0.0
10.0,5,5.4,0.0,0.0
10.0,6,4.0,0.0,0.0
7.0,2,3.1,0.0,0.0
8.0,6,6.7,0.0,0.0
8.0,2,5.4,0.0,0.0
9.0,6,2.7,0.0,0.0
9.0,3,4.9,0.0,0.0
9.0,3,4.0,0.0,0.0
3.0,1,1.8,0.0,0.0
3.0,1,5.8,0.0,0.0
8.0,7,2.2,0.0,0.0
8.0,3,4.9,0.0,0.0
8.0,3,4.9,0.0,0.0
8.0,4,3.6,0.0,0.0
9.0,4,2.2,0.0,0.0
9.0,2,4.9,0.0,0.0
10.0,7,2.7,0.0,0.0
2.0,1,5.4,0.0,0.0
3.0,7,5.8,0.0,0.0
3.0,7,6.3,0.0,0.0
8.0,7,2.7,0.0,0.0
8.0,4,4.5,0.0,0.0
9.0,5,6.3,0.0,0.0
9.0,5,3.6,0.0,0.0
8.0,2,4.5,0.0,0.0
9.0,5,1.3,0.0,0.0
2.0,4,3.1,0.0,0.0
2.0,5,3.1,0.0,0.0
3.0,1,3.1,0.0,0.0
8.0,5,2.7,0.0,0.0
8.0,2,6.7,0.0,0.0
8.0,7,2.2,0.0,0.0
8.0,2,4.5,0.0,0.0
8.0,3,0.9,0.0,0.0
8.0,4,3.6,0.0,0.0
9.0,4,0.9,0.0,0.0
9.0,4,2.2,0.0,0.0
9.0,4,2.2,0.0,0.0
3.0,6,4.9,0.0,0.0
8.0,6,5.8,0.0,0.0
3.0,5,5.4,0.0,0.0
8.0,7,6.3,0.0,0.0
8.0,7,4.9,0.0,0.0
8.0,1,2.7,0.0,0.0
9.0,7,1.3,0.0,0.0
2.0,6,1.8,0.0,0.0
3.0,6,5.4,0.0,0.0
8.0,7,5.4,0.0,0.0
8.0,7,5.4,0.0,0.0
8.0,2,5.4,0.0,0.0
8.0,2,4.0,0.0,0.0
9.0,6,4.5,0.0,0.0
3.0,5,6.3,0.0,0.0
3.0,4,3.1,0.0,0.0
9.0,6,3.1,0.0,0.0
9.0,1,5.4,0.0,0.0
3.0,5,5.8,0.0,0.0
3.0,5,4.5,0.0,0.0
9.0,7,3.6,0.0,0.0
9.0,1,2.7,0.0,0.0
3.0,2,7.6,0.0,0.0
3.0,6,6.3,0.0,0.0
3.0,6,4.9,0.0,0.0
3.0,1,4.0,0.0,0.0
8.0,4,3.1,0.0,0.0
8.0,1,2.2,0.0,0.0
8.0,1,5.4,0.0,0.0
9.0,7,5.4,0.0,0.0
10.0,7,5.4,0.0,0.0
3.0,1,2.2,0.0,0.0
10.0,3,3.6,0.0,0.0
10.0,7,0.9,0.0,0.0
2.0,6,2.7,0.0,0.0
3.0,1,3.1,0.0,0.0
3.0,7,4.9,0.0,0.0
3.0,2,2.7,0.0,0.0
8.0,6,5.8,0.0,0.0
9.0,1,3.1,0.0,0.0
9.0,2,2.2,0.0,0.43
9.0,1,1.8,0.0,0.47
8.0,3,4.5,0.0,0.55
8.0,3,5.4,0.0,0.77
8.0,4,4.0,0.0,0.9
3.0,1,5.4,0.0,0.95
8.0,2,6.7,0.0,1.07
9.0,4,4.5,0.0,1.12
,5,5.4,0.0,1.19
7.0,7,2.2,0.0,1.36
9.0,5,4.9,0.0,1.46
9.0,6,2.7,0.0,1.46
9.0,6,2.2,0.0,1.61
8.0,3,3.6,0.0,1.63
8.0,3,4.0,0.0,1.64
9.0,5,5.8,0.0,1.69
8.0,4,4.0,0.0,1.9
3.0,6,8.5,0.0,1.94
9.0,6,1.8,0.0,1.95
3.0,4,4.5,0.0,2.14
8.0,3,0.9,0.0,2.29
8.0,3,4.5,0.0,2.51
9.0,3,1.8,0.0,2.57
8.0,3,4.0,0.0,2.69
8.0,7,5.4,0.0,2.74
9.0,1,2.2,0.0,3.07
8.0,6,1.8,0.0,3.5
8.0,6,4.9,0.0,4.53
4.0,4,5.8,0.0,4.61
8.0,7,2.7,0.0,4.69
9.0,3,2.2,0.0,4.88
8.0,2,5.4,0.0,5.23
9.0,7,6.7,0.0,5.33
10.0,1,4.0,0.0,5.44
2.0,7,2.2,0.0,6.38
8.0,5,4.9,0.0,6.96
9.0,2,3.1,0.0,7.04
3.0,7,5.8,0.0,7.19
9.0,1,2.2,0.0,7.3
3.0,5,4.0,0.0,8.31
8.0,4,2.7,0.0,8.68
8.0,2,4.5,0.0,8.71
8.0,5,5.4,0.0,10.02
4.0,4,5.8,0.0,10.93
9.0,4,0.9,0.0,11.06
9.0,2,6.3,0.0,11.24
9.0,1,3.6,0.0,11.32
9.0,2,2.2,0.0,11.53
2.0,7,2.2,0.0,13.05
10.0,3,2.7,0.0,13.7
3.0,6,4.0,0.0,13.99
9.0,4,1.8,0.0,14.57
9.0,2,2.2,0.0,17.2
9.0,5,6.3,0.0,19.23
9.0,4,4.9,0.0,23.41
10.0,6,3.1,0.0,24.23
8.0,6,5.8,0.0,26.0
9.0,5,4.9,0.0,26.13
3.0,1,5.8,0.0,27.35
3.0,6,4.9,0.0,28.66
9.0,1,6.3,0.0,30.32
9.0,3,1.3,0.0,31.72
3.0,1,3.1,0.0,31.86
8.0,7,3.1,0.0,32.07
9.0,5,3.6,0.0,35.88
3.0,1,5.8,0.0,36.85
7.0,5,3.6,0.0,37.02
9.0,3,4.5,0.0,37.71
9.0,7,4.9,0.0,48.55
10.0,1,4.0,0.0,49.37
8.0,6,4.5,0.0,58.3
9.0,7,3.1,0.0,64.1
8.0,6,4.0,0.0,71.3
9.0,3,4.5,0.0,88.49
9.0,7,3.1,0.0,95.18
9.0,2,2.7,0.0,103.39
9.0,6,3.1,0.0,154.88
8.0,7,5.8,0.0,196.48
9.0,6,1.8,0.0,200.94
4.0,7,1.8,0.0,0.0
4.0,3,2.7,0.0,0.0
4.0,5,3.1,0.0,0.0
8.0,7,7.6,0.0,2.87
8.0,7,6.3,0.0,0.76
8.0,7,5.4,0.0,0.09
8.0,3,2.2,0.0,0.75
8.0,3,2.7,0.0,0.0
8.0,3,3.1,0.0,0.24
8.0,3,3.6,0.0,0.21
8.0,4,2.7,0.0,1.52
8.0,4,3.1,0.0,10.34
8.0,4,4.0,0.0,0.0
8.0,6,2.7,0.0,0.68
8.0,6,0.9,0.0,0.0
8.0,1,4.0,0.0,8.85
8.0,5,7.6,0.0,3.3
8.0,5,3.1,0.0,4.25
8.0,5,3.6,0.0,1.56
8.0,5,3.1,0.0,6.54
8.0,2,4.0,0.0,0.17
8.0,2,3.1,0.0,0.0
8.0,2,2.7,0.0,4.4
8.0,2,3.1,0.0,0.52
8.0,2,4.5,0.0,9.27
8.0,2,4.0,0.0,3.09
12.0,7,8.5,0.0,8.98
12.0,4,4.9,0.0,5.38
12.0,1,8.5,0.0,17.85
12.0,1,8.5,0.0,22.03
12.0,1,8.5,0.0,9.77
12.0,5,4.9,0.0,9.27
12.0,2,8.5,0.0,24.77
2.0,7,4.0,0.0,0.0
2.0,3,3.1,0.0,1.1
2.0,5,8.0,0.0,24.24
7.0,7,6.3,0.0,0.0
7.0,3,7.6,0.2,0.0
7.0,6,1.8,0.0,0.0
7.0,6,1.8,0.0,0.0
7.0,6,1.8,0.0,0.0
7.0,5,1.3,0.0,2.64
7.0,2,5.4,0.0,86.45
,7,1.3,0.0,0.0
,7,1.8,0.0,0.9
,7,2.2,0.0,0.0
,6,2.7,0.0,0.0
,1,5.4,0.0,3.52
,5,4.5,0.0,0.0
,5,4.5,0.0,0.0
5.0,6,4.9,0.0,0.0
9.0,7,2.2,0.0,0.0
9.0,7,5.4,0.0,0.41
9.0,7,3.6,0.0,5.18
9.0,7,2.2,0.0,0.0
9.0,7,2.7,0.0,0.0
9.0,7,1.8,0.0,14.29
9.0,7,6.3,0.0,0.0
9.0,3,4.9,0.0,0.0
9.0,3,1.8,0.0,1.58
9.0,3,2.7,0.0,0.0
9.0,4,5.8,0.0,0.0
9.0,4,4.9,0.0,3.78
9.0,4,2.2,0.0,0.0
9.0,4,6.3,0.0,4.41
9.0,4,7.2,0.0,34.36
9.0,4,4.0,0.0,7.21
9.0,4,4.0,0.0,1.01
9.0,4,2.7,0.0,2.18
9.0,4,1.8,0.0,4.42
9.0,6,3.1,0.0,0.0
9.0,6,2.2,0.0,0.0
9.0,6,1.8,0.0,0.0
9.0,6,4.0,0.0,3.33
9.0,6,3.1,0.0,6.58
9.0,6,4.5,0.0,15.64
9.0,6,2.2,0.0,11.22
9.0,1,3.1,0.0,2.13
9.0,1,5.4,0.0,0.0
9.0,1,1.8,0.0,0.0
9.0,1,2.2,0.0,0.0
9.0,1,2.2,0.0,56.04
9.0,1,2.2,0.0,7.48
9.0,1,1.8,0.0,1.47
9.0,1,2.2,0.0,3.93
9.0,1,4.5,0.0,2.18
9.0,1,2.2,0.0,28.19
9.0,5,3.6,0.0,0.0
9.0,5,3.6,0.0,3.71
9.0,5,6.3,0.0,7.31
9.0,5,3.6,0.0,2.03
9.0,5,2.7,0.0,1.72
9.0,5,2.2,0.0,5.97
9.0,5,4.9,0.0,13.06
9.0,5,4.9,0.0,1.26
9.0,5,3.6,0.0,0.0
9.0,5,2.2,0.0,8.12
9.0,5,2.2,0.0,1.09
9.0,5,3.1,0.0,0.52
9.0,2,2.2,0.0,2.93
9.0,2,2.7,0.0,5.65
9.0,2,3.1,0.0,20.03
9.0,2,3.6,0.0,0.0
9.0,7,7.6,0.0,0.0
9.0,7,7.6,0.0,11.06
8.0,4,2.7,0.0,0.0
9.0,5,4.0,0.0,18.3
9.0,6,4.9,0.0,39.35
8.0,1,2.2,0.0,0.0
8.0,6,2.2,0.0,174.63
3.0,4,5.8,0.0,0.0
1.0,7,0.9,0.0,0.0
7.0,3,7.2,0.0,7.73
8.0,4,2.7,0.0,16.33
8.0,3,1.8,0.0,5.86
8.0,4,2.7,0.0,42.87
8.0,6,4.5,0.0,12.18
8.0,7,2.2,0.0,16.0
9.0,7,5.4,0.0,24.59
3.0,4,5.4,0.0,0.0
8.0,5,3.1,0.0,28.74
8.0,5,3.1,0.0,0.0
9.0,5,2.7,0.0,30.18
9.0,7,4.0,0.0,70.76
3.0,2,7.6,0.0,0.0
2.0,1,1.8,0.0,0.0
2.0,7,1.8,0.0,51.78
9.0,7,4.9,0.0,3.64
8.0,6,3.1,0.0,0.0
,3,4.5,0.0,0.0
,3,4.5,0.0,8.16
9.0,4,4.0,0.0,4.95
8.0,5,4.0,0.0,0.0
8.0,4,3.6,0.0,0.0
9.0,3,2.2,0.0,6.04
8.0,2,2.2,0.0,0.0
2.0,6,4.0,0.0,0.0
9.0,5,3.1,0.0,7.8
7.0,2,5.4,0.0,0.0
7.0,1,4.5,0.0,1.63
8.0,6,3.6,0.0,0.0
8.0,7,4.0,0.0,0.0
8.0,4,4.9,0.0,746.28
7.0,2,3.1,0.0,7.02
3.0,3,5.8,0.0,0.0
8.0,7,5.4,0.0,2.44
8.0,7,4.0,0.0,3.05
8.0,3,4.5,0.0,185.76
8.0,3,4.5,0.0,0.0
7.0,7,3.6,0.0,6.3
8.0,6,3.6,0.0,4.96
8.0,4,2.2,0.0,0.0
8.0,4,2.2,0.0,0.0
8.0,1,2.2,0.0,2.35
8.0,4,5.8,0.0,0.0
9.0,4,3.6,0.0,0.0
8.0,6,4.0,0.0,6.36
8.0,4,6.7,0.0,0.0
8.0,7,4.9,0.0,15.34
8.0,5,3.6,0.0,0.0
8.0,1,1.3,0.0,0.54
8.0,6,2.7,0.0,0.0
8.0,6,4.0,0.0,6.43
9.0,5,2.2,0.0,0.33
9.0,5,3.6,0.0,0.0
8.0,1,1.8,0.0,1.23
4.0,1,3.1,0.0,3.35
7.0,5,8.0,0.0,0.0
9.0,5,3.6,0.0,9.96
8.0,7,4.5,0.0,0.0
8.0,7,2.2,0.0,0.0
9.0,3,4.0,0.0,0.0
8.0,7,4.9,0.0,0.0
8.0,3,5.4,0.0,6.43
8.0,5,4.9,0.0,9.71
8.0,4,3.1,0.0,0.0
7.0,1,2.7,0.0,0.0
8.0,4,2.7,0.0,0.0
8.0,6,4.9,0.0,3.32
8.0,6,8.0,0.0,1.94
8.0,6,4.9,0.0,0.0
2.0,2,6.3,0.0,5.39
2.0,2,5.4,0.0,2.14
3.0,1,5.8,0.0,3.18
3.0,3,5.4,0.0,5.55
3.0,4,3.6,0.0,6.61
4.0,7,9.4,0.0,61.13
4.0,7,5.8,0.0,0.0
5.0,5,4.0,0.0,38.48
,4,2.7,0.0,10.08
7.0,4,1.3,0.0,1.76
7.0,7,4.0,0.0,7.36
7.0,1,4.9,0.0,278.53
7.0,4,4.5,0.0,2.75
7.0,4,4.9,0.0,0.0
8.0,7,5.4,0.0,0.0
8.0,2,6.3,0.0,2.0
8.0,2,7.6,0.0,46.7
8.0,3,1.3,0.0,0.0
8.0,3,4.0,0.0,0.0
8.0,5,2.2,0.0,0.0
8.0,5,4.5,0.0,43.32
8.0,6,4.9,0.0,8.59
8.0,1,2.2,0.0,0.0
8.0,1,3.1,0.0,2.77
8.0,2,4.9,6.4,10.82
8.0,2,4.9,0.8,0.0
8.0,2,4.9,0.4,0.0
8.0,3,4.9,0.0,1.95
8.0,3,4.9,0.0,49.59
8.0,4,1.8,0.0,5.8
8.0,5,8.5,0.0,0.0
8.0,5,3.6,0.0,0.0
8.0,5,3.6,0.0,0.0
8.0,5,7.6,1.4,2.17
8.0,5,5.4,0.0,0.43
8.0,7,6.7,0.0,11.16
11.0,2,4.5,0.0,0.0
