displacement,mpg,h,err_v,partial MSE,MSE,Sum,,w0,w1,,,,
307,18,16.6703,-1.3297,1.76810209,10.68732657,-899.868925,-408.2179,35.121,-0.0601,,35.00000789],,
350,15,14.086,-0.914,0.835396,,-899.868925,-728.1179,,,, [-0.09803031,,
318,18,16.0092,-1.9908,3.96328464,,,-1361.1923,,,,,,
304,16,16.8506,0.8506,0.72352036,,Gradient,-1102.6099,,,,,,
302,17,16.9708,-0.0292,0.00085264,,-2.295583992,-1111.4283,,,,,,
429,15,9.3381,-5.6619,32.05711161,,,-3540.3834,,,,,,
454,14,7.8356,-6.1644,37.99982736,,,-6339.021,,,,,,
440,14,8.677,-5.323,28.334329,,,-8681.141,,,,,,
455,14,7.7755,-6.2245,38.74440025,,,-11513.2885,,,,,,
390,15,11.682,-3.318,11.009124,,,-12807.3085,,,,,,
383,15,12.1027,-2.8973,8.39434729,,,-13916.9744,,,,,,
340,14,14.687,0.687,0.471969,,,-13683.3944,,,,,,
400,15,11.081,-3.919,15.358561,,,-15250.9944,,,,,,
455,14,7.7755,-6.2245,38.74440025,,,-18083.1419,,,,,,
113,24,28.3297,4.3297,18.74630209,,,-17593.8858,,,,,,
198,22,23.2212,1.2212,1.49132944,,,-17352.0882,,,,,,
199,18,23.1611,5.1611,26.63695321,,,-16325.0293,,,,,,
200,21,23.101,2.101,4.414201,,,-15904.8293,,,,,,
97,27,29.2913,2.2913,5.25005569,,,-15682.5732,,,,,,
97,26,29.2913,3.2913,10.83265569,,,-15363.3171,,,,,,
110,25,28.51,3.51,12.3201,,,-14977.2171,,,,,,
107,24,28.6903,4.6903,21.99891409,,,-14475.355,,,,,,
104,25,28.8706,3.8706,14.98154436,,,-14072.8126,,,,,,
121,26,27.8489,1.8489,3.41843121,,,-13849.0957,,,,,,
199,21,23.1611,2.1611,4.67035321,,,-13419.0368,,,,,,
360,10,13.485,3.485,12.145225,,,-12164.4368,,,,,,
307,10,16.6703,6.6703,44.49290209,,,-10116.6547,,,,,,
318,11,16.0092,5.0092,25.09208464,,,-8523.7291,,,,,,
304,9,16.8506,7.8506,61.63192036,,,-6137.1467,,,,,,
97,27,29.2913,2.2913,5.25005569,,,-5914.8906,,,,,,
140,28,26.707,-1.293,1.671849,,,-6095.9106,,,,,,
113,25,28.3297,3.3297,11.08690209,,,-5719.6545,,,,,,
232,19,21.1778,2.1778,4.74281284,,,-5214.4049,,,,,,
225,16,21.5985,5.5985,31.34320225,,,-3954.7424,,,,,,
250,17,20.096,3.096,9.585216,,,-3180.7424,,,,,,
250,19,20.096,1.096,1.201216,,,-2906.7424,,,,,,
232,18,21.1778,3.1778,10.09841284,,,-2169.4928,,,,,,
350,14,14.086,0.086,0.007396,,,-2139.3928,,,,,,
400,14,11.081,-2.919,8.520561,,,-3306.9928,,,,,,
351,14,14.0259,0.0259,0.00067081,,,-3297.9019,,,,,,
318,14,16.0092,2.0092,4.03688464,,,-2658.9763,,,,,,
383,12,12.1027,0.1027,0.01054729,,,-2619.6422,,,,,,
400,13,11.081,-1.919,3.682561,,,-3387.2422,,,,,,
400,13,11.081,-1.919,3.682561,,,-4154.8422,,,,,,
258,18,19.6152,1.6152,2.60887104,,,-3738.1206,,,,,,
140,22,26.707,4.707,22.155849,,,-3079.1406,,,,,,
250,19,20.096,1.096,1.201216,,,-2805.1406,,,,,,
250,18,20.096,2.096,4.393216,,,-2281.1406,,,,,,
122,23,27.7888,4.7888,22.93260544,,,-1696.907,,,,,,
116,28,28.1494,0.1494,0.02232036,,,-1679.5766,,,,,,
79,30,30.3731,0.3731,0.13920361,,,-1650.1017,,,,,,
88,30,29.8322,-0.1678,0.02815684,,,-1664.8681,,,,,,
71,31,30.8539,-0.1461,0.02134521,,,-1675.2412,,,,,,
72,35,30.7938,-4.2062,17.69211844,,,-1978.0876,,,,,,
97,27,29.2913,2.2913,5.25005569,,,-1755.8315,,,,,,
91,26,29.6519,3.6519,13.33637361,,,-1423.5086,,,,,,
113,24,28.3297,4.3297,18.74630209,,,-934.2525,,,,,,
97.5,25,29.26125,4.26125,18.15825156,,,-518.780625,,,,,,
97,23,29.2913,6.2913,39.58045569,,,91.475475,,,,,,
140,20,26.707,6.707,44.983849,,,1030.455475,,,,,,
122,21,27.7888,6.7888,46.08780544,,,1858.689075,,,,,,
350,13,14.086,1.086,1.179396,,,2238.789075,,,,,,
400,14,11.081,-2.919,8.520561,,,1071.189075,,,,,,
318,15,16.0092,1.0092,1.01848464,,,1392.114675,,,,,,
351,14,14.0259,0.0259,0.00067081,,,1401.205575,,,,,,
304,17,16.8506,-0.1494,0.02232036,,,1355.787975,,,,,,
429,11,9.3381,-1.6619,2.76191161,,,642.832875,,,,,,
350,13,14.086,1.086,1.179396,,,1022.932875,,,,,,
350,12,14.086,2.086,4.351396,,,1753.032875,,,,,,
400,13,11.081,-1.919,3.682561,,,985.432875,,,,,,
70,19,30.914,11.914,141.943396,,,1819.412875,,,,,,
304,15,16.8506,1.8506,3.42472036,,,2381.995275,,,,,,
307,13,16.6703,3.6703,13.47110209,,,3508.777375,,,,,,
302,13,16.9708,3.9708,15.76725264,,,4707.958975,,,,,,
318,14,16.0092,2.0092,4.03688464,,,5346.884575,,,,,,
121,18,27.8489,9.8489,97.00083121,,,6538.601475,,,,,,
121,22,27.8489,5.8489,34.20963121,,,7246.318375,,,,,,
120,21,27.909,6.909,47.734281,,,8075.398375,,,,,,
96,26,29.3514,3.3514,11.23188196,,,8397.132775,,,,,,
122,22,27.7888,5.7888,33.51020544,,,9103.366375,,,,,,
97,28,29.2913,1.2913,1.66745569,,,9228.622475,,,,,,
120,23,27.909,4.909,24.098281,,,9817.702475,,,,,,
98,28,29.2312,1.2312,1.51585344,,,9938.360075,,,,,,
97,27,29.2913,2.2913,5.25005569,,,10160.61618,,,,,,
350,13,14.086,1.086,1.179396,,,10540.71618,,,,,,
304,14,16.8506,2.8506,8.12592036,,,11407.29858,,,,,,
350,13,14.086,1.086,1.179396,,,11787.39858,,,,,,
302,14,16.9708,2.9708,8.82565264,,,12684.58018,,,,,,
318,15,16.0092,1.0092,1.01848464,,,13005.50578,,,,,,
429,12,9.3381,-2.6619,7.08571161,,,11863.55068,,,,,,
400,13,11.081,-1.919,3.682561,,,11095.95068,,,,,,
351,13,14.0259,1.0259,1.05247081,,,11456.04158,,,,,,
318,14,16.0092,2.0092,4.03688464,,,12094.96718,,,,,,
440,13,8.677,-4.323,18.688329,,,10192.84718,,,,,,
455,12,7.7755,-4.2245,17.84640025,,,8270.699675,,,,,,
360,13,13.485,0.485,0.235225,,,8445.299675,,,,,,
225,18,21.5985,3.5985,12.94920225,,,9254.962175,,,,,,
250,16,20.096,4.096,16.777216,,,10278.96218,,,,,,
232,18,21.1778,3.1778,10.09841284,,,11016.21178,,,,,,
250,18,20.096,2.096,4.393216,,,11540.21178,,,,,,
198,23,23.2212,0.2212,0.04892944,,,11584.00938,,,,,,
97,26,29.2913,3.2913,10.83265569,,,11903.26548,,,,,,
400,11,11.081,0.081,0.006561,,,11935.66548,,,,,,
400,12,11.081,-0.919,0.844561,,,11568.06548,,,,,,
360,13,13.485,0.485,0.235225,,,11742.66548,,,,,,
350,12,14.086,2.086,4.351396,,,12472.76548,,,,,,
232,18,21.1778,3.1778,10.09841284,,,13210.01508,,,,,,
97,20,29.2913,9.2913,86.32825569,,,14111.27118,,,,,,
140,21,26.707,5.707,32.569849,,,14910.25118,,,,,,
108,22,28.6302,6.6302,43.95955204,,,15626.31278,,,,,,
70,18,30.914,12.914,166.771396,,,16530.29278,,,,,,
122,19,27.7888,8.7888,77.24300544,,,17602.52638,,,,,,
155,21,25.8055,4.8055,23.09283025,,,18347.37888,,,,,,
98,26,29.2312,3.2312,10.44065344,,,18664.03648,,,,,,
350,15,14.086,-0.914,0.835396,,,18344.13648,,,,,,
400,16,11.081,-4.919,24.196561,,,16376.53648,,,,,,
68,29,31.0342,2.0342,4.13796964,,,16514.86208,,,,,,
116,24,28.1494,4.1494,17.21752036,,,16996.19248,,,,,,
114,20,28.2696,8.2696,68.38628416,,,17938.92688,,,,,,
121,19,27.8489,8.8489,78.30303121,,,19009.64378,,,,,,
318,15,16.0092,1.0092,1.01848464,,,19330.56938,,,,,,
121,24,27.8489,3.8489,14.81403121,,,19796.28628,,,,,,
156,20,25.7454,5.7454,33.00962116,,,20692.56868,,,,,,
350,11,14.086,3.086,9.523396,,,21772.66868,,,,,,
198,20,23.2212,3.2212,10.37612944,,,22410.46628,,,,,,
232,19,21.1778,2.1778,4.74281284,,,22915.71588,,,,,,
250,15,20.096,5.096,25.969216,,,24189.71588,,,,,,
79,31,30.3731,-0.6269,0.39300361,,,24140.19078,,,,,,
122,26,27.7888,1.7888,3.19980544,,,24358.42438,,,,,,
71,32,30.8539,-1.1461,1.31354521,,,24277.05128,,,,,,
140,25,26.707,1.707,2.913849,,,24516.03128,,,,,,
250,16,20.096,4.096,16.777216,,,25540.03128,,,,,,
258,16,19.6152,3.6152,13.06967104,,,26472.75288,,,,,,
225,18,21.5985,3.5985,12.94920225,,,27282.41538,,,,,,
302,16,16.9708,0.9708,0.94245264,,,27575.59698,,,,,,
350,13,14.086,1.086,1.179396,,,27955.69698,,,,,,
318,14,16.0092,2.0092,4.03688464,,,28594.62258,,,,,,
302,14,16.9708,2.9708,8.82565264,,,29491.80418,,,,,,
304,14,16.8506,2.8506,8.12592036,,,30358.38658,,,,,,
98,29,29.2312,0.2312,0.05345344,,,30381.04418,,,,,,
79,26,30.3731,4.3731,19.12400361,,,30726.51908,,,,,,
97,26,29.2913,3.2913,10.83265569,,,31045.77518,,,,,,
76,31,30.5534,-0.4466,0.19945156,,,31011.83358,,,,,,
83,32,30.1327,-1.8673,3.48680929,,,30856.84768,,,,,,
90,28,29.712,1.712,2.930944,,,31010.92768,,,,,,
90,24,29.712,5.712,32.626944,,,31525.00768,,,,,,
116,26,28.1494,2.1494,4.61992036,,,31774.33808,,,,,,
120,24,27.909,3.909,15.280281,,,32243.41808,,,,,,
108,26,28.6302,2.6302,6.91795204,,,32527.47968,,,,,,
79,31,30.3731,-0.6269,0.39300361,,,32477.95458,,,,,,
225,19,21.5985,2.5985,6.75220225,,,33062.61708,,,,,,
250,18,20.096,2.096,4.393216,,,33586.61708,,,,,,
250,15,20.096,5.096,25.969216,,,34860.61708,,,,,,
250,15,20.096,5.096,25.969216,,,36134.61708,,,,,,
400,16,11.081,-4.919,24.196561,,,34167.01708,,,,,,
350,15,14.086,-0.914,0.835396,,,33847.11708,,,,,,
318,16,16.0092,0.0092,8.464E-05,,,33850.04268,,,,,,
351,14,14.0259,0.0259,0.00067081,,,33859.13358,,,,,,
231,17,21.2379,4.2379,17.95979641,,,34838.08848,,,,,,
250,16,20.096,4.096,16.777216,,,35862.08848,,,,,,
258,15,19.6152,4.6152,21.30007104,,,37052.81008,,,,,,
225,18,21.5985,3.5985,12.94920225,,,37862.47258,,,,,,
231,21,21.2379,0.2379,0.05659641,,,37917.42748,,,,,,
262,20,19.3748,-0.6252,0.39087504,,,37753.62508,,,,,,
302,13,16.9708,3.9708,15.76725264,,,38952.80668,,,,,,
97,29,29.2913,0.2913,0.08485569,,,38981.06278,,,,,,
140,23,26.707,3.707,13.741849,,,39500.04278,,,,,,
232,20,21.1778,1.1778,1.38721284,,,39773.29238,,,,,,
140,23,26.707,3.707,13.741849,,,40292.27238,,,,,,
134,24,27.0676,3.0676,9.41016976,,,40703.33078,,,,,,
90,25,29.712,4.712,22.202944,,,41127.41078,,,,,,
119,24,27.9691,3.9691,15.75375481,,,41599.73368,,,,,,
171,18,24.8439,6.8439,46.83896721,,,42770.04058,,,,,,
90,29,29.712,0.712,0.506944,,,42834.12058,,,,,,
232,19,21.1778,2.1778,4.74281284,,,43339.37018,,,,,,
115,23,28.2095,5.2095,27.13889025,,,43938.46268,,,,,,
120,23,27.909,4.909,24.098281,,,44527.54268,,,,,,
121,22,27.8489,5.8489,34.20963121,,,45235.25958,,,,,,
121,25,27.8489,2.8489,8.11623121,,,45579.97648,,,,,,
91,33,29.6519,-3.3481,11.20977361,,,45275.29938,,,,,,
107,28,28.6903,0.6903,0.47651409,,,45349.16148,,,,,,
116,25,28.1494,3.1494,9.91872036,,,45714.49188,,,,,,
140,25,26.707,1.707,2.913849,,,45953.47188,,,,,,
98,26,29.2312,3.2312,10.44065344,,,46270.12948,,,,,,
101,27,29.0509,2.0509,4.20619081,,,46477.27038,,,,,,
305,17.5,16.7905,-0.7095,0.50339025,,,46260.87288,,,,,,
318,16,16.0092,0.0092,8.464E-05,,,46263.79848,,,,,,
304,15.5,16.8506,1.3506,1.82412036,,,46674.38088,,,,,,
351,14.5,14.0259,-0.4741,0.22477081,,,46507.97178,,,,,,
225,22,21.5985,-0.4015,0.16120225,,,46417.63428,,,,,,
250,22,20.096,-1.904,3.625216,,,45941.63428,,,,,,
200,24,23.101,-0.899,0.808201,,,45761.83428,,,,,,
232,22.5,21.1778,-1.3222,1.74821284,,,45455.08388,,,,,,
85,29,30.0125,1.0125,1.02515625,,,45541.14638,,,,,,
98,24.5,29.2312,4.7312,22.38425344,,,46004.80398,,,,,,
90,29,29.712,0.712,0.506944,,,46068.88398,,,,,,
91,33,29.6519,-3.3481,11.20977361,,,45764.20688,,,,,,
225,20,21.5985,1.5985,2.55520225,,,46123.86938,,,,,,
250,18,20.096,2.096,4.393216,,,46647.86938,,,,,,
250,18.5,20.096,1.596,2.547216,,,47046.86938,,,,,,
258,17.5,19.6152,2.1152,4.47407104,,,47592.59098,,,,,,
97,29.5,29.2913,-0.2087,0.04355569,,,47572.34708,,,,,,
85,32,30.0125,-1.9875,3.95015625,,,47403.40958,,,,,,
97,28,29.2913,1.2913,1.66745569,,,47528.66568,,,,,,
140,26.5,26.707,0.207,0.042849,,,47557.64568,,,,,,
130,20,27.308,7.308,53.406864,,,48507.68568,,,,,,
318,13,16.0092,3.0092,9.05528464,,,49464.61128,,,,,,
120,19,27.909,8.909,79.370281,,,50533.69128,,,,,,
156,19,25.7454,6.7454,45.50042116,,,51585.97368,,,,,,
168,16.5,25.0242,8.5242,72.66198564,,,53018.03928,,,,,,
350,16.5,14.086,-2.414,5.827396,,,52173.13928,,,,,,
350,13,14.086,1.086,1.179396,,,52553.23928,,,,,,
302,13,16.9708,3.9708,15.76725264,,,53752.42088,,,,,,
318,13,16.0092,3.0092,9.05528464,,,54709.34648,,,,,,
98,31.5,29.2312,-2.2688,5.14745344,,,54487.00408,,,,,,
111,30,28.4499,-1.5501,2.40281001,,,54314.94298,,,,,,
79,36,30.3731,-5.6269,31.66200361,,,53870.41788,,,,,,
122,25.5,27.7888,2.2888,5.23860544,,,54149.65148,,,,,,
85,33.5,30.0125,-3.4875,12.16265625,,,53853.21398,,,,,,
305,17.5,16.7905,-0.7095,0.50339025,,,53636.81648,,,,,,
260,17,19.495,2.495,6.225025,,,54285.51648,,,,,,
318,15.5,16.0092,0.5092,0.25928464,,,54447.44208,,,,,,
302,15,16.9708,1.9708,3.88405264,,,55042.62368,,,,,,
250,17.5,20.096,2.596,6.739216,,,55691.62368,,,,,,
231,20.5,21.2379,0.7379,0.54449641,,,55862.07858,,,,,,
225,19,21.5985,2.5985,6.75220225,,,56446.74108,,,,,,
250,18.5,20.096,1.596,2.547216,,,56845.74108,,,,,,
400,16,11.081,-4.919,24.196561,,,54878.14108,,,,,,
350,15.5,14.086,-1.414,1.999396,,,54383.24108,,,,,,
400,15.5,11.081,-4.419,19.527561,,,52615.64108,,,,,,
351,16,14.0259,-1.9741,3.89707081,,,51922.73198,,,,,,
97,29,29.2913,0.2913,0.08485569,,,51950.98808,,,,,,
151,24.5,26.0459,1.5459,2.38980681,,,52184.41898,,,,,,
97,26,29.2913,3.2913,10.83265569,,,52503.67508,,,,,,
140,25.5,26.707,1.207,1.456849,,,52672.65508,,,,,,
98,30.5,29.2312,-1.2688,1.60985344,,,52548.31268,,,,,,
98,33.5,29.2312,-4.2688,18.22265344,,,52129.97028,,,,,,
97,30,29.2913,-0.7087,0.50225569,,,52061.22638,,,,,,
97,30.5,29.2913,-1.2087,1.46095569,,,51943.98248,,,,,,
146,22,26.3464,4.3464,18.89119296,,,52578.55688,,,,,,
121,21.5,27.8489,6.3489,40.30853121,,,53346.77378,,,,,,
80,21.5,30.313,8.813,77.668969,,,54051.81378,,,,,,
90,43.1,29.712,-13.388,179.238544,,,52846.89378,,,,,,
98,36.1,29.2312,-6.8688,47.18041344,,,52173.75138,,,,,,
78,32.8,30.4332,-2.3668,5.60174224,,,51989.14098,,,,,,
85,39.4,30.0125,-9.3875,88.12515625,,,51191.20348,,,,,,
91,36.1,29.6519,-6.4481,41.57799361,,,50604.42638,,,,,,
260,19.9,19.495,-0.405,0.164025,,,50499.12638,,,,,,
318,19.4,16.0092,-3.3908,11.49752464,,,49420.85198,,,,,,
302,20.2,16.9708,-3.2292,10.42773264,,,48445.63358,,,,,,
231,19.2,21.2379,2.0379,4.15303641,,,48916.38848,,,,,,
200,20.5,23.101,2.601,6.765201,,,49436.58848,,,,,,
200,20.2,23.101,2.901,8.415801,,,50016.78848,,,,,,
140,25.1,26.707,1.607,2.582449,,,50241.76848,,,,,,
225,20.5,21.5985,1.0985,1.20670225,,,50488.93098,,,,,,
232,19.4,21.1778,1.7778,3.16057284,,,50901.38058,,,,,,
231,20.6,21.2379,0.6379,0.40691641,,,51048.73548,,,,,,
200,20.8,23.101,2.301,5.294601,,,51508.93548,,,,,,
225,18.6,21.5985,2.9985,8.99100225,,,52183.59798,,,,,,
258,18.1,19.6152,1.5152,2.29583104,,,52574.51958,,,,,,
305,19.2,16.7905,-2.4095,5.80569025,,,51839.62208,,,,,,
231,17.7,21.2379,3.5379,12.51673641,,,52656.87698,,,,,,
302,18.1,16.9708,-1.1292,1.27509264,,,52315.85858,,,,,,
318,17.5,16.0092,-1.4908,2.22248464,,,51841.78418,,,,,,
98,30,29.2312,-0.7688,0.59105344,,,51766.44178,,,,,,
134,27.5,27.0676,-0.4324,0.18696976,,,51708.50018,,,,,,
119,27.2,27.9691,0.7691,0.59151481,,,51800.02308,,,,,,
105,30.9,28.8105,-2.0895,4.36601025,,,51580.62558,,,,,,
134,21.1,27.0676,5.9676,35.61224976,,,52380.28398,,,,,,
156,23.2,25.7454,2.5454,6.47906116,,,52777.36638,,,,,,
151,23.8,26.0459,2.2459,5.04406681,,,53116.49728,,,,,,
119,23.9,27.9691,4.0691,16.55757481,,,53600.72018,,,,,,
131,20.3,27.2479,6.9479,48.27331441,,,54510.89508,,,,,,
163,17,25.3247,8.3247,69.30063009,,,55867.82118,,,,,,
121,21.6,27.8489,6.2489,39.04875121,,,56623.93808,,,,,,
163,16.2,25.3247,9.1247,83.26015009,,,58111.26418,,,,,,
89,31.5,29.7721,-1.7279,2.98563841,,,57957.48108,,,,,,
98,29.5,29.2312,-0.2688,0.07225344,,,57931.13868,,,,,,
231,21.5,21.2379,-0.2621,0.06869641,,,57870.59358,,,,,,
200,19.8,23.101,3.301,10.896601,,,58530.79358,,,,,,
140,22.3,26.707,4.407,19.421649,,,59147.77358,,,,,,
232,20.2,21.1778,0.9778,0.95609284,,,59374.62318,,,,,,
225,20.6,21.5985,0.9985,0.99700225,,,59599.28568,,,,,,
305,17,16.7905,-0.2095,0.04389025,,,59535.38818,,,,,,
302,17.6,16.9708,-0.6292,0.39589264,,,59345.36978,,,,,,
351,16.5,14.0259,-2.4741,6.12117081,,,58476.96068,,,,,,
318,18.2,16.0092,-2.1908,4.79960464,,,57780.28628,,,,,,
350,16.9,14.086,-2.814,7.918596,,,56795.38628,,,,,,
351,15.5,14.0259,-1.4741,2.17297081,,,56277.97718,,,,,,
267,19.2,19.0743,-0.1257,0.01580049,,,56244.41528,,,,,,
360,18.5,13.485,-5.015,25.150225,,,54439.01528,,,,,,
89,31.9,29.7721,-2.1279,4.52795841,,,54249.63218,,,,,,
86,34.1,29.9524,-4.1476,17.20258576,,,53892.93858,,,,,,
98,35.7,29.2312,-6.4688,41.84537344,,,53258.99618,,,,,,
121,27.4,27.8489,0.4489,0.20151121,,,53313.31308,,,,,,
183,25.4,24.1227,-1.2773,1.63149529,,,53079.56718,,,,,,
350,23,14.086,-8.914,79.459396,,,49959.66718,,,,,,
141,27.2,26.6469,-0.5531,0.30591961,,,49881.68008,,,,,,
260,23.9,19.495,-4.405,19.404025,,,48736.38008,,,,,,
105,34.2,28.8105,-5.3895,29.04671025,,,48170.48258,,,,,,
105,34.5,28.8105,-5.6895,32.37041025,,,47573.08508,,,,,,
85,31.8,30.0125,-1.7875,3.19515625,,,47421.14758,,,,,,
91,37.3,29.6519,-7.6481,58.49343361,,,46725.17048,,,,,,
151,28.4,26.0459,-2.3541,5.54178681,,,46369.70138,,,,,,
173,28.8,24.7237,-4.0763,16.61622169,,,45664.50148,,,,,,
173,26.8,24.7237,-2.0763,4.31102169,,,45305.30158,,,,,,
151,33.5,26.0459,-7.4541,55.56360681,,,44179.73248,,,,,,
98,41.5,29.2312,-12.2688,150.5234534,,,42977.39008,,,,,,
89,38.1,29.7721,-8.3279,69.35391841,,,42236.20698,,,,,,
98,32.1,29.2312,-2.8688,8.23001344,,,41955.06458,,,,,,
86,37.2,29.9524,-7.2476,52.52770576,,,41331.77098,,,,,,
151,28,26.0459,-1.9541,3.81850681,,,41036.70188,,,,,,
140,26.4,26.707,0.307,0.094249,,,41079.68188,,,,,,
151,24.3,26.0459,1.7459,3.04816681,,,41343.31278,,,,,,
225,19.1,21.5985,2.4985,6.24250225,,,41905.47528,,,,,,
97,34.3,29.2913,-5.0087,25.08707569,,,41419.63138,,,,,,
134,29.8,27.0676,-2.7324,7.46600976,,,41053.48978,,,,,,
120,31.3,27.909,-3.391,11.498881,,,40646.56978,,,,,,
119,37,27.9691,-9.0309,81.55715481,,,39571.89268,,,,,,
108,32.2,28.6302,-3.5698,12.74347204,,,39186.35428,,,,,,
86,46.6,29.9524,-16.6476,277.1425858,,,37754.66068,,,,,,
156,27.9,25.7454,-2.1546,4.64230116,,,37418.54308,,,,,,
85,40.8,30.0125,-10.7875,116.3701563,,,36501.60558,,,,,,
90,44.3,29.712,-14.588,212.809744,,,35188.68558,,,,,,
90,43.4,29.712,-13.688,187.361344,,,33956.76558,,,,,,
121,36.4,27.8489,-8.5511,73.12131121,,,32922.08248,,,,,,
146,30,26.3464,-3.6536,13.34879296,,,32388.65688,,,,,,
91,44.6,29.6519,-14.9481,223.4456936,,,31028.37978,,,,,,
97,33.8,29.2913,-4.5087,20.32837569,,,30591.03588,,,,,,
89,29.8,29.7721,-0.0279,0.00077841,,,30588.55278,,,,,,
168,32.7,25.0242,-7.6758,58.91790564,,,29299.01838,,,,,,
70,23.7,30.914,7.214,52.041796,,,29803.99838,,,,,,
122,35,27.7888,-7.2112,52.00140544,,,28924.23198,,,,,,
107,32.4,28.6903,-3.7097,13.76187409,,,28527.29408,,,,,,
135,27.2,27.0075,-0.1925,0.03705625,,,28501.30658,,,,,,
151,26.6,26.0459,-0.5541,0.30702681,,,28417.63748,,,,,,
156,25.8,25.7454,-0.0546,0.00298116,,,28409.11988,,,,,,
173,23.5,24.7237,1.2237,1.49744169,,,28620.81998,,,,,,
135,30,27.0075,-2.9925,8.95505625,,,28216.83248,,,,,,
79,39.1,30.3731,-8.7269,76.15878361,,,27527.40738,,,,,,
86,39,29.9524,-9.0476,81.85906576,,,26749.31378,,,,,,
81,35.1,30.2529,-4.8471,23.49437841,,,26356.69868,,,,,,
97,32.3,29.2913,-3.0087,9.05227569,,,26064.85478,,,,,,
85,37,30.0125,-6.9875,48.82515625,,,25470.91728,,,,,,
89,37.7,29.7721,-7.9279,62.85159841,,,24765.33418,,,,,,
91,34.1,29.6519,-4.4481,19.78559361,,,24360.55708,,,,,,
105,34.7,28.8105,-5.8895,34.68621025,,,23742.15958,,,,,,
98,34.4,29.2312,-5.1688,26.71649344,,,23235.61718,,,,,,
98,29.9,29.2312,-0.6688,0.44729344,,,23170.07478,,,,,,
105,33,28.8105,-4.1895,17.55191025,,,22730.17728,,,,,,
107,33.7,28.6903,-5.0097,25.09709409,,,22194.13938,,,,,,
108,32.4,28.6302,-3.7698,14.21139204,,,21787.00098,,,,,,
119,32.9,27.9691,-4.9309,24.31377481,,,21200.22388,,,,,,
120,31.6,27.909,-3.691,13.623481,,,20757.30388,,,,,,
141,28.1,26.6469,-1.4531,2.11149961,,,20552.41678,,,,,,
145,30.7,26.4065,-4.2935,18.43414225,,,19929.85928,,,,,,
168,25.4,25.0242,-0.3758,0.14122564,,,19866.72488,,,,,,
146,24.2,26.3464,2.1464,4.60703296,,,20180.09928,,,,,,
231,22.4,21.2379,-1.1621,1.35047641,,,19911.65418,,,,,,
350,26.6,14.086,-12.514,156.600196,,,15531.75418,,,,,,
200,20.2,23.101,2.901,8.415801,,,16111.95418,,,,,,
225,17.6,21.5985,3.9985,15.98800225,,,17011.61668,,,,,,
112,28,28.3898,0.3898,0.15194404,,,17055.27428,,,,,,
112,27,28.3898,1.3898,1.93154404,,,17210.93188,,,,,,
112,34,28.3898,-5.6102,31.47434404,,,16582.58948,,,,,,
112,31,28.3898,-2.6102,6.81314404,,,16290.24708,,,,,,
135,29,27.0075,-1.9925,3.97005625,,,16021.25958,,,,,,
151,27,26.0459,-0.9541,0.91030681,,,15877.19048,,,,,,
140,24,26.707,2.707,7.327849,,,16256.17048,,,,,,
105,36,28.8105,-7.1895,51.68891025,,,15501.27298,,,,,,
91,37,29.6519,-7.3481,53.99457361,,,14832.59588,,,,,,
91,31,29.6519,-1.3481,1.81737361,,,14709.91878,,,,,,
105,38,28.8105,-9.1895,84.44691025,,,13745.02128,,,,,,
98,36,29.2312,-6.7688,45.81665344,,,13081.67888,,,,,,
120,36,27.909,-8.091,65.464281,,,12110.75888,,,,,,
107,36,28.6903,-7.3097,53.43171409,,,11328.62098,,,,,,
108,34,28.6302,-5.3698,28.83475204,,,10748.68258,,,,,,
91,38,29.6519,-8.3481,69.69077361,,,9989.005475,,,,,,
91,32,29.6519,-2.3481,5.51357361,,,9775.328375,,,,,,
91,38,29.6519,-8.3481,69.69077361,,,9015.651275,,,,,,
181,25,24.2429,-0.7571,0.57320041,,,8878.616175,,,,,,
262,38,19.3748,-18.6252,346.898075,,,3998.813775,,,,,,
156,26,25.7454,-0.2546,0.06482116,,,3959.096175,,,,,,
232,22,21.1778,-0.8222,0.67601284,,,3768.345775,,,,,,
144,32,26.4666,-5.5334,30.61851556,,,2971.536175,,,,,,
135,36,27.0075,-8.9925,80.86505625,,,1757.548675,,,,,,
151,27,26.0459,-0.9541,0.91030681,,,1613.479575,,,,,,
140,27,26.707,-0.293,0.085849,,,1572.459575,,,,,,
97,44,29.2913,-14.7087,216.3458557,,,145.715675,,,,,,
135,32,27.0075,-4.9925,24.92505625,,,-528.271825,,,,,,
120,28,27.909,-0.091,0.008281,,,-539.191825,,,,,,
119,31,27.9691,-3.0309,9.18635481,,,-899.868925,,,,,,
