year,mpg,,h,err,MSE,,w0,-70
70,18,,16.1,-1.9,20.14204311,,w1,1.23
70,15,,16.1,1.1,,,,
70,18,,16.1,-1.9,,,,
70,16,,16.1,0.1,,,,
70,17,,16.1,-0.9,,,,
70,15,,16.1,1.1,,,,
70,14,,16.1,2.1,,,,
70,14,,16.1,2.1,,,,
70,14,,16.1,2.1,,,,
70,15,,16.1,1.1,,,,
70,15,,16.1,1.1,,,,
70,14,,16.1,2.1,,,,
70,15,,16.1,1.1,,,,
70,14,,16.1,2.1,,,,
70,24,,16.1,-7.9,,,,
70,22,,16.1,-5.9,,,,
70,18,,16.1,-1.9,,,,
70,21,,16.1,-4.9,,,,
70,27,,16.1,-10.9,,,,
70,26,,16.1,-9.9,,,,
70,25,,16.1,-8.9,,,,
70,24,,16.1,-7.9,,,,
70,25,,16.1,-8.9,,,,
70,26,,16.1,-9.9,,,,
70,21,,16.1,-4.9,,,,
70,10,,16.1,6.1,,,,
70,10,,16.1,6.1,,,,
70,11,,16.1,5.1,,,,
70,9,,16.1,7.1,,,,
71,27,,17.33,-9.67,,,,
71,28,,17.33,-10.67,,,,
71,25,,17.33,-7.67,,,,
71,19,,17.33,-1.67,,,,
71,16,,17.33,1.33,,,,
71,17,,17.33,0.33,,,,
71,19,,17.33,-1.67,,,,
71,18,,17.33,-0.67,,,,
71,14,,17.33,3.33,,,,
71,14,,17.33,3.33,,,,
71,14,,17.33,3.33,,,,
71,14,,17.33,3.33,,,,
71,12,,17.33,5.33,,,,
71,13,,17.33,4.33,,,,
71,13,,17.33,4.33,,,,
71,18,,17.33,-0.67,,,,
71,22,,17.33,-4.67,,,,
71,19,,17.33,-1.67,,,,
71,18,,17.33,-0.67,,,,
71,23,,17.33,-5.67,,,,
71,28,,17.33,-10.67,,,,
71,30,,17.33,-12.67,,,,
71,30,,17.33,-12.67,,,,
71,31,,17.33,-13.67,,,,
71,35,,17.33,-17.67,,,,
71,27,,17.33,-9.67,,,,
71,26,,17.33,-8.67,,,,
72,24,,18.56,-5.44,,,,
72,25,,18.56,-6.44,,,,
72,23,,18.56,-4.44,,,,
72,20,,18.56,-1.44,,,,
72,21,,18.56,-2.44,,,,
72,13,,18.56,5.56,,,,
72,14,,18.56,4.56,,,,
72,15,,18.56,3.56,,,,
72,14,,18.56,4.56,,,,
72,17,,18.56,1.56,,,,
72,11,,18.56,7.56,,,,
72,13,,18.56,5.56,,,,
72,12,,18.56,6.56,,,,
72,13,,18.56,5.56,,,,
72,19,,18.56,-0.44,,,,
72,15,,18.56,3.56,,,,
72,13,,18.56,5.56,,,,
72,13,,18.56,5.56,,,,
72,14,,18.56,4.56,,,,
72,18,,18.56,0.56,,,,
72,22,,18.56,-3.44,,,,
72,21,,18.56,-2.44,,,,
72,26,,18.56,-7.44,,,,
72,22,,18.56,-3.44,,,,
72,28,,18.56,-9.44,,,,
72,23,,18.56,-4.44,,,,
72,28,,18.56,-9.44,,,,
72,27,,18.56,-8.44,,,,
73,13,,19.79,6.79,,,,
73,14,,19.79,5.79,,,,
73,13,,19.79,6.79,,,,
73,14,,19.79,5.79,,,,
73,15,,19.79,4.79,,,,
73,12,,19.79,7.79,,,,
73,13,,19.79,6.79,,,,
73,13,,19.79,6.79,,,,
73,14,,19.79,5.79,,,,
73,13,,19.79,6.79,,,,
73,12,,19.79,7.79,,,,
73,13,,19.79,6.79,,,,
73,18,,19.79,1.79,,,,
73,16,,19.79,3.79,,,,
73,18,,19.79,1.79,,,,
73,18,,19.79,1.79,,,,
73,23,,19.79,-3.21,,,,
73,26,,19.79,-6.21,,,,
73,11,,19.79,8.79,,,,
73,12,,19.79,7.79,,,,
73,13,,19.79,6.79,,,,
73,12,,19.79,7.79,,,,
73,18,,19.79,1.79,,,,
73,20,,19.79,-0.21,,,,
73,21,,19.79,-1.21,,,,
73,22,,19.79,-2.21,,,,
73,18,,19.79,1.79,,,,
73,19,,19.79,0.79,,,,
73,21,,19.79,-1.21,,,,
73,26,,19.79,-6.21,,,,
73,15,,19.79,4.79,,,,
73,16,,19.79,3.79,,,,
73,29,,19.79,-9.21,,,,
73,24,,19.79,-4.21,,,,
73,20,,19.79,-0.21,,,,
73,19,,19.79,0.79,,,,
73,15,,19.79,4.79,,,,
73,24,,19.79,-4.21,,,,
73,20,,19.79,-0.21,,,,
73,11,,19.79,8.79,,,,
74,20,,21.02,1.02,,,,
74,19,,21.02,2.02,,,,
74,15,,21.02,6.02,,,,
74,31,,21.02,-9.98,,,,
74,26,,21.02,-4.98,,,,
74,32,,21.02,-10.98,,,,
74,25,,21.02,-3.98,,,,
74,16,,21.02,5.02,,,,
74,16,,21.02,5.02,,,,
74,18,,21.02,3.02,,,,
74,16,,21.02,5.02,,,,
74,13,,21.02,8.02,,,,
74,14,,21.02,7.02,,,,
74,14,,21.02,7.02,,,,
74,14,,21.02,7.02,,,,
74,29,,21.02,-7.98,,,,
74,26,,21.02,-4.98,,,,
74,26,,21.02,-4.98,,,,
74,31,,21.02,-9.98,,,,
74,32,,21.02,-10.98,,,,
74,28,,21.02,-6.98,,,,
74,24,,21.02,-2.98,,,,
74,26,,21.02,-4.98,,,,
74,24,,21.02,-2.98,,,,
74,26,,21.02,-4.98,,,,
74,31,,21.02,-9.98,,,,
75,19,,22.25,3.25,,,,
75,18,,22.25,4.25,,,,
75,15,,22.25,7.25,,,,
75,15,,22.25,7.25,,,,
75,16,,22.25,6.25,,,,
75,15,,22.25,7.25,,,,
75,16,,22.25,6.25,,,,
75,14,,22.25,8.25,,,,
75,17,,22.25,5.25,,,,
75,16,,22.25,6.25,,,,
75,15,,22.25,7.25,,,,
75,18,,22.25,4.25,,,,
75,21,,22.25,1.25,,,,
75,20,,22.25,2.25,,,,
75,13,,22.25,9.25,,,,
75,29,,22.25,-6.75,,,,
75,23,,22.25,-0.75,,,,
75,20,,22.25,2.25,,,,
75,23,,22.25,-0.75,,,,
75,24,,22.25,-1.75,,,,
75,25,,22.25,-2.75,,,,
75,24,,22.25,-1.75,,,,
75,18,,22.25,4.25,,,,
75,29,,22.25,-6.75,,,,
75,19,,22.25,3.25,,,,
75,23,,22.25,-0.75,,,,
75,23,,22.25,-0.75,,,,
75,22,,22.25,0.25,,,,
75,25,,22.25,-2.75,,,,
75,33,,22.25,-10.75,,,,
76,28,,23.48,-4.52,,,,
76,25,,23.48,-1.52,,,,
76,25,,23.48,-1.52,,,,
76,26,,23.48,-2.52,,,,
76,27,,23.48,-3.52,,,,
76,17.5,,23.48,5.98,,,,
76,16,,23.48,7.48,,,,
76,15.5,,23.48,7.98,,,,
76,14.5,,23.48,8.98,,,,
76,22,,23.48,1.48,,,,
76,22,,23.48,1.48,,,,
76,24,,23.48,-0.52,,,,
76,22.5,,23.48,0.98,,,,
76,29,,23.48,-5.52,,,,
76,24.5,,23.48,-1.02,,,,
76,29,,23.48,-5.52,,,,
76,33,,23.48,-9.52,,,,
76,20,,23.48,3.48,,,,
76,18,,23.48,5.48,,,,
76,18.5,,23.48,4.98,,,,
76,17.5,,23.48,5.98,,,,
76,29.5,,23.48,-6.02,,,,
76,32,,23.48,-8.52,,,,
76,28,,23.48,-4.52,,,,
76,26.5,,23.48,-3.02,,,,
76,20,,23.48,3.48,,,,
76,13,,23.48,10.48,,,,
76,19,,23.48,4.48,,,,
76,19,,23.48,4.48,,,,
76,16.5,,23.48,6.98,,,,
76,16.5,,23.48,6.98,,,,
76,13,,23.48,10.48,,,,
76,13,,23.48,10.48,,,,
76,13,,23.48,10.48,,,,
77,31.5,,24.71,-6.79,,,,
77,30,,24.71,-5.29,,,,
77,36,,24.71,-11.29,,,,
77,25.5,,24.71,-0.79,,,,
77,33.5,,24.71,-8.79,,,,
77,17.5,,24.71,7.21,,,,
77,17,,24.71,7.71,,,,
77,15.5,,24.71,9.21,,,,
77,15,,24.71,9.71,,,,
77,17.5,,24.71,7.21,,,,
77,20.5,,24.71,4.21,,,,
77,19,,24.71,5.71,,,,
77,18.5,,24.71,6.21,,,,
77,16,,24.71,8.71,,,,
77,15.5,,24.71,9.21,,,,
77,15.5,,24.71,9.21,,,,
77,16,,24.71,8.71,,,,
77,29,,24.71,-4.29,,,,
77,24.5,,24.71,0.21,,,,
77,26,,24.71,-1.29,,,,
77,25.5,,24.71,-0.79,,,,
77,30.5,,24.71,-5.79,,,,
77,33.5,,24.71,-8.79,,,,
77,30,,24.71,-5.29,,,,
77,30.5,,24.71,-5.79,,,,
77,22,,24.71,2.71,,,,
77,21.5,,24.71,3.21,,,,
77,21.5,,24.71,3.21,,,,
78,43.1,,25.94,-17.16,,,,
78,36.1,,25.94,-10.16,,,,
78,32.8,,25.94,-6.86,,,,
78,39.4,,25.94,-13.46,,,,
78,36.1,,25.94,-10.16,,,,
78,19.9,,25.94,6.04,,,,
78,19.4,,25.94,6.54,,,,
78,20.2,,25.94,5.74,,,,
78,19.2,,25.94,6.74,,,,
78,20.5,,25.94,5.44,,,,
78,20.2,,25.94,5.74,,,,
78,25.1,,25.94,0.84,,,,
78,20.5,,25.94,5.44,,,,
78,19.4,,25.94,6.54,,,,
78,20.6,,25.94,5.34,,,,
78,20.8,,25.94,5.14,,,,
78,18.6,,25.94,7.34,,,,
78,18.1,,25.94,7.84,,,,
78,19.2,,25.94,6.74,,,,
78,17.7,,25.94,8.24,,,,
78,18.1,,25.94,7.84,,,,
78,17.5,,25.94,8.44,,,,
78,30,,25.94,-4.06,,,,
78,27.5,,25.94,-1.56,,,,
78,27.2,,25.94,-1.26,,,,
78,30.9,,25.94,-4.96,,,,
78,21.1,,25.94,4.84,,,,
78,23.2,,25.94,2.74,,,,
78,23.8,,25.94,2.14,,,,
78,23.9,,25.94,2.04,,,,
78,20.3,,25.94,5.64,,,,
78,17,,25.94,8.94,,,,
78,21.6,,25.94,4.34,,,,
78,16.2,,25.94,9.74,,,,
78,31.5,,25.94,-5.56,,,,
78,29.5,,25.94,-3.56,,,,
79,21.5,,27.17,5.67,,,,
79,19.8,,27.17,7.37,,,,
79,22.3,,27.17,4.87,,,,
79,20.2,,27.17,6.97,,,,
79,20.6,,27.17,6.57,,,,
79,17,,27.17,10.17,,,,
79,17.6,,27.17,9.57,,,,
79,16.5,,27.17,10.67,,,,
79,18.2,,27.17,8.97,,,,
79,16.9,,27.17,10.27,,,,
79,15.5,,27.17,11.67,,,,
79,19.2,,27.17,7.97,,,,
79,18.5,,27.17,8.67,,,,
79,31.9,,27.17,-4.73,,,,
79,34.1,,27.17,-6.93,,,,
79,35.7,,27.17,-8.53,,,,
79,27.4,,27.17,-0.23,,,,
79,25.4,,27.17,1.77,,,,
79,23,,27.17,4.17,,,,
79,27.2,,27.17,-0.03,,,,
79,23.9,,27.17,3.27,,,,
79,34.2,,27.17,-7.03,,,,
79,34.5,,27.17,-7.33,,,,
79,31.8,,27.17,-4.63,,,,
79,37.3,,27.17,-10.13,,,,
79,28.4,,27.17,-1.23,,,,
79,28.8,,27.17,-1.63,,,,
79,26.8,,27.17,0.37,,,,
79,33.5,,27.17,-6.33,,,,
80,41.5,,28.4,-13.1,,,,
80,38.1,,28.4,-9.7,,,,
80,32.1,,28.4,-3.7,,,,
80,37.2,,28.4,-8.8,,,,
80,28,,28.4,0.4,,,,
80,26.4,,28.4,2,,,,
80,24.3,,28.4,4.1,,,,
80,19.1,,28.4,9.3,,,,
80,34.3,,28.4,-5.9,,,,
80,29.8,,28.4,-1.4,,,,
80,31.3,,28.4,-2.9,,,,
80,37,,28.4,-8.6,,,,
80,32.2,,28.4,-3.8,,,,
80,46.6,,28.4,-18.2,,,,
80,27.9,,28.4,0.5,,,,
80,40.8,,28.4,-12.4,,,,
80,44.3,,28.4,-15.9,,,,
80,43.4,,28.4,-15,,,,
80,36.4,,28.4,-8,,,,
80,30,,28.4,-1.6,,,,
80,44.6,,28.4,-16.2,,,,
80,33.8,,28.4,-5.4,,,,
80,29.8,,28.4,-1.4,,,,
80,32.7,,28.4,-4.3,,,,
80,23.7,,28.4,4.7,,,,
80,35,,28.4,-6.6,,,,
80,32.4,,28.4,-4,,,,
81,27.2,,29.63,2.43,,,,
81,26.6,,29.63,3.03,,,,
81,25.8,,29.63,3.83,,,,
81,23.5,,29.63,6.13,,,,
81,30,,29.63,-0.37,,,,
81,39.1,,29.63,-9.47,,,,
81,39,,29.63,-9.37,,,,
81,35.1,,29.63,-5.47,,,,
81,32.3,,29.63,-2.67,,,,
81,37,,29.63,-7.37,,,,
81,37.7,,29.63,-8.07,,,,
81,34.1,,29.63,-4.47,,,,
81,34.7,,29.63,-5.07,,,,
81,34.4,,29.63,-4.77,,,,
81,29.9,,29.63,-0.27,,,,
81,33,,29.63,-3.37,,,,
81,33.7,,29.63,-4.07,,,,
81,32.4,,29.63,-2.77,,,,
81,32.9,,29.63,-3.27,,,,
81,31.6,,29.63,-1.97,,,,
81,28.1,,29.63,1.53,,,,
81,30.7,,29.63,-1.07,,,,
81,25.4,,29.63,4.23,,,,
81,24.2,,29.63,5.43,,,,
81,22.4,,29.63,7.23,,,,
81,26.6,,29.63,3.03,,,,
81,20.2,,29.63,9.43,,,,
81,17.6,,29.63,12.03,,,,
82,28,,30.86,2.86,,,,
82,27,,30.86,3.86,,,,
82,34,,30.86,-3.14,,,,
82,31,,30.86,-0.14,,,,
82,29,,30.86,1.86,,,,
82,27,,30.86,3.86,,,,
82,24,,30.86,6.86,,,,
82,36,,30.86,-5.14,,,,
82,37,,30.86,-6.14,,,,
82,31,,30.86,-0.14,,,,
82,38,,30.86,-7.14,,,,
82,36,,30.86,-5.14,,,,
82,36,,30.86,-5.14,,,,
82,36,,30.86,-5.14,,,,
82,34,,30.86,-3.14,,,,
82,38,,30.86,-7.14,,,,
82,32,,30.86,-1.14,,,,
82,38,,30.86,-7.14,,,,
82,25,,30.86,5.86,,,,
82,38,,30.86,-7.14,,,,
82,26,,30.86,4.86,,,,
82,22,,30.86,8.86,,,,
82,32,,30.86,-1.14,,,,
82,36,,30.86,-5.14,,,,
82,27,,30.86,3.86,,,,
82,27,,30.86,3.86,,,,
82,44,,30.86,-13.14,,,,
82,32,,30.86,-1.14,,,,
82,28,,30.86,2.86,,,,
82,31,,30.86,-0.14,,,,
